Net Rank,Team,Team Address,"Hartford, CT","Salt Lake City, UT","Des Moines, IA","Jacksonville, FL","Tulsa, OK","Columbus, OH","Colombia, SC","San Jose, CA"
1,Duke,"115 Whitford Dr, Durham, NC 27705",522.31,1806.28,879.3,422.36,952.25,352.84,182.44,2364.64
2,Gonzaga,"801 N Cincinnati St, Spokane, WA 99258",2204.03,549.11,1237.65,2236.18,1351.93,1780.54,2099.36,750.39
3,Virginia,"295 Massie Rd, Charlottesville, VA 22903",402.3,1783.85,838.33,563.3,972.26,275.98,313.92,2353.86
4,Houston,"3422 Cullen Blvd, Houston, TX 77204",1513.66,1203.83,826.59,821.13,446.23,994.52,890.09,1612.59
5,Kentucky,"430 W Vine St, Lexington, KY 40507",677.37,1470.28,542.53,558.62,647.09,155.23,340.86,2033.76
6,Tennessee,"1600 Phillip Fulmer Way #202, Knoxville, TN 37996",726.34,1546.53,651.76,410.87,674.77,282.41,212.36,2095.69
7,Michigan St,"534 Birch Rd, East Lansing, MI 48824",608.1,1414.71,474.36,872.21,763.37,205.82,632.33,1999.31
8,Michigan,"333 E Stadium Blvd, Ann Arbor, MI 48109",569.51,1455.21,509.98,834.03,779.67,163.4,590.65,2038.78
9,North Carolina,"300 Skipper Bowles Dr, Chapel Hill, NC 27514",531.14,1803.42,877.95,413.92,947.35,354.88,173.61,2361.02
10,Texas Tech,"1701 Indiana Ave, Lubbock, TX 79409",1686.69,741.91,715.06,1207.06,378.58,1132.64,1196.85,1154.79
11,Nevada,"1664 N Virginia St, Reno, NV 89557",2447.41,426.9,1378.48,2238.15,1318.16,1943.67,2165.79,190.18
12,Purdue,"900 John R Wooden Dr West Lafayette, IN 47906",747.03,1307.95,358.94,759.32,574.59,209,550.33,1883.6
13,Iowa State,"1705 Center Dr, Ames, IA 50011",1076.53,949.97,29.63,1047.85,425.19,572.32,881.31,1532
14,Virginia Tech,"675 Washington St SW, Blacksburg, VA 24061",518.91,1700.86,766.56,482.23,866.22,235.91,225.96,2264.36
15,Wisconsin,"601 W Dayton St, Madison, WI 53703",857.08,1165.85,238.89,979.65,593.33,394.18,772.8,1750.82
16,LSU,"N Stadium Dr, Baton Rouge, LA 70802",1294.11,1362.54,785.13,569.16,484.64,805.78,643.1,1818.99
17,Louisville,"1 Arena Plaza, Louisville, KY 40202",733.2,1400.82,476.56,596.61,582.41,189.08,395.34,1964.2
18,Kansas,"1651 Naismith Dr, Lawrence, KS 66044",1202.12,891.42,201.79,975.84,198.02,657.23,860.64,1448.88
19,Marquette,"1111 Vel R. Phillips Ave, Milwaukee, WI 53203",782.27,1240.38,308.46,945.37,641.77,331.51,727.74,1825.54
20,Villanova,"1530 County Line Rd, Bryn Mawr, PA 19010",183.58,1912.79,961.58,759.85,1153.51,406.42,522.87,2492.72
21,Auburn,"250 Beard-Eaves Court, Auburn, AL 36849",947.12,1562.52,765.88,276.25,647.51,528,274.95,2076.58
22,Florida St,"505 W Pensacola St, Tallahassee, FL 32301",1015.47,1699.97,930.42,157.81,783.1,663.24,310.91,2196.83
23,Buffalo,"175 Webster Road; Amherst, NY 14228",323.06,1701.64,764.64,890.96,1030.29,303.25,634.83,2287.3
24,Mississippi St,"55 Bailey Howell Dr Starkville, MS 39759",1050.85,1365.96,621.39,472.39,449.25,552.54,447.64,1876.19
25,Maryland,"885 S Main St, Mansfield, MA 02048",77.11,2093.53,1152.72,993.82,1385.32,631.11,769.12,2678.93
26,Wofford,"34.960278,-81.932778",687.55,1676.25,187.98,320.99,794.98,351.47,84.05,2221.94
27,Cincinnati,"27000 O'Varsity Way, Cincinnati, OH 45221",648.62,1450.74,508.98,630.44,661.21,99.14,404.32,202.88
28,Iowa,"1 Elliott Dr, Iowa City, IA 52242",972.76,1058.02,106.95,959.04,449.8,462.36,780.92,1638.45
29,Kansas St,"1800 College Ave, Manhattan, KS 66502",1266.56,817.43,227.81,1045.72,213.32,725.57,934.33,1376.01
30,Ole Miss,"762 All American Drive, Oxford, MS 38655",1048.59,1299.43,547.24,538.82,385.24,528.71,486.82,1817.39
31,Washington,"3870 Montlake Blvd NE, Seattle, WA 98105",2430.5,700.77,1463.4,2454.48,1559.24,2008.65,2323.34,714.12
32,NC State,"1400 Edwards Mill Rd, Raleigh, NC 27607",525.5,1822.62,896.81,415,965.98,371.05,181.39,2380.15
33,Florida,"250 Gale Lemerand Dr, Gainesville, FL 32611",997.44,1826.97,1039.18,63.06,909.91,714.8,310.32,2324.84
34,Utah St,"7600 Old Main Hill, Logan, UT 84322",2001.5,67.9,938.22,1850.34,932.78,1507.94,1753.05,618.23
35,Texas,"1701 Red River St, Austin, TX 78701",1602.69,1075.78,815.63,959.95,418.67,1066.88,1009.82,1467.41
